title,author,year,journal,keywords,relevance_to_lab,source
"Reliable Tool Use by Language Model Agents in Multi-Agent Systems","Maya Chen; David Ortiz","2024","arXiv preprint","cs.AI, cs.CL, cs.MA","high","arxiv"
"Retrieval-Augmented Generation with Evidence Calibration","Priya Nair; Jonas Weber","2024","arXiv preprint","cs.IR, cs.CL","high","arxiv"
"Multimodal Foundation Models for Scientific Discovery","Elena Rossi; Ahmed Saleh","2024","arXiv preprint","cs.LG, cs.CV","high","arxiv"
"Reproducible Computational Experiment Pipelines","Samuel Green; Yuki Tanaka","2024","arXiv preprint","cs.SE, cs.DC","high","arxiv"
"Causal Evaluation of Adaptive Research Systems","Nora Ibrahim; Lucas Martin","2024","arXiv preprint","stat.ML, cs.LG","high","arxiv"
"Graph Neural Networks for Molecular Measurement Analysis","Fatima Khan; Owen Brooks","2024","arXiv preprint","cs.LG, physics.chem-ph","high","arxiv"
"Bayesian Adaptive Design for Small Laboratory Studies","Grace Liu; Mateo Silva","2024","arXiv preprint","stat.ME, stat.AP","high","arxiv"
"Open Science Infrastructure for Data and Code Reuse","Isabelle Moreau; Henry Adams","2024","arXiv preprint","cs.DL, cs.SE","high","arxiv"
"Human-in-the-Loop Validation for High-Stakes AI","Rachel Kim; Tomas Novak","2025","arXiv preprint","cs.HC, cs.AI","high","arxiv"
"Benchmarking Scientific AI under Distribution Shift","Amina Yusuf; Peter Hall","2025","arXiv preprint","cs.LG, stat.ML","high","arxiv"
